company_name,sector,website,channel_priority,whatsapp_presence,linkedin_search_url,suggested_entry_point,notes
Cafe de Coral (大家樂),F&B,https://www.cfchk.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Cafe+de+Coral+Hong+Kong,Customer Service Manager; Digital Lead,Large chain; high impact
Fairwood (大快活),F&B,https://www.fairwood.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Fairwood+Hong+Kong,Operations Manager; CX Lead,Multi-branch; menu FAQ
Maxim's MX (美心MX),F&B,https://www.maxims.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Maxim%27s+Group+Hong+Kong,Digital; E-commerce; Contact Centre,Group brands; central CX
Starbucks Hong Kong (Maxim's),F&B,https://www.starbucks.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Starbucks+Hong+Kong+Maxim%27s,Digital Lead; Loyalty,High WhatsApp adoption
Lady M (HK),F&B,https://www.ladymhk.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Lady+M+Hong+Kong,E-comm; CX,Pre-order
Godiva Cafés (HK),F&B,https://www.godiva.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Godiva+Hong+Kong,Marketing; CX,Gifting
Häagen-Dazs Shops (HK),F&B,https://www.haagendazs.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Haagen-Dazs+Hong+Kong,Marketing; CX,Store info
Shake Shack Hong Kong,F&B,https://www.shakeshack.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Shake+Shack+Hong+Kong,Operations; CX,Queue & hours
Five Guys Hong Kong,F&B,https://fiveguys.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Five+Guys+Hong+Kong,Operations; CX,Menu & allergens
Burger King Hong Kong,F&B,https://www.burgerking.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Burger+King+Hong+Kong,Marketing; CX,Promotions
Jollibee Hong Kong,F&B,https://www.jollibee.com.ph/international/hong-kong/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Jollibee+Hong+Kong,Operations; CX,Filipino community
C4fe Habitu (Habitu),F&B,https://www.cafehabitu.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Habitu+Hong+Kong,Marketing; CX,Loyalty
Dan Ryan's Chicago Grill (HK),F&B,https://www.danryans.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Dan+Ryan%27s+Hong+Kong,Operations; CX,Booking
Outback Steakhouse (HK),F&B,https://www.outback.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Outback+Hong+Kong,Operations; CX,Booking
Oliver's Super Sandwiches (HK),F&B,https://www.olivers.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Oliver%27s+Super+Sandwiches+Hong+Kong,Operations; CX,Lunch rush
ICHIRAN 一蘭 (HK),F&B,https://en.ichiran.com/shop/hongkong/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Ichiran+Hong+Kong,Operations; CX,Queue mgmt
7-Eleven Hong Kong,Retail,https://www.7-eleven.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+7-Eleven+Hong+Kong,Digital; Retail Ops,DFI Retail Group
Circle K Hong Kong (OK便利店),Retail,https://www.circlek.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Circle+K+Hong+Kong,Digital; Retail Ops,Convenience retail
Wellcome 惠康,Retail,https://www.wellcome.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Wellcome+Hong+Kong,Digital; CX,Grocery
PARKnSHOP 百佳,Retail,https://www.parknshop.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+PARKnSHOP+Hong+Kong,Digital; CX,Grocery
Mannings 萬寧,Retail,https://www.mannings.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Mannings+Hong+Kong,Digital; CX,Pharmacy
Watsons 屈臣氏,Retail,https://www.watsons.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Watsons+Hong+Kong,Digital; CX,Health & beauty
Sa Sa 莎莎,Retail,https://www.sasa.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Sa+Sa+International,Digital; E-comm,Beauty
Bonjour 卓悅,Retail,https://www.bonjourhk.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Bonjour+Hong+Kong,Digital; E-comm,Beauty
Fortress 豐澤,Retail,https://www.fortress.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Fortress+Hong+Kong,Digital; Retail Ops,Electronics
Broadway 百老滙,Retail,https://www.broadwaylifestyle.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Broadway+Hong+Kong,Digital; Retail Ops,Electronics
AEON Stores Hong Kong,Retail,https://www.aeonstores.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+AEON+Stores+Hong+Kong,Retail Ops; CX,Department store
YATA 一田,Retail,https://www.yata.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+YATA+Hong+Kong,Retail Ops; CX,Department store
SOGO Hong Kong,Retail,https://www.sogo.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+SOGO+Hong+Kong,Retail Ops; CX,Department store
city'super,Retail,https://www.citysuper.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+city%27super+Hong+Kong,Retail Ops; CX,Premium grocery
LOG-ON (by city'super),Retail,https://logon.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+LOG-ON+Hong+Kong,Marketing; CX,Lifestyle
IKEA Hong Kong,Retail,https://www.ikea.com/hk/en/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+IKEA+Hong+Kong,Digital; CX,Furniture
UNIQLO Hong Kong,Retail,https://www.uniqlo.com/hk-en/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+UNIQLO+Hong+Kong,Digital; Retail Ops,Fashion
MUJI Hong Kong,Retail,https://www.muji.com/hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+MUJI+Hong+Kong,Digital; Retail Ops,Lifestyle
H&M Hong Kong,Retail,https://www2.hm.com/en_asia2/index.html,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+H%26M+Hong+Kong,Digital; Retail Ops,Fashion
ZARA Hong Kong,Retail,https://www.zara.com/hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+ZARA+Hong+Kong,Digital; Retail Ops,Fashion
Decathlon Hong Kong,Retail,https://www.decathlon.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Decathlon+Hong+Kong,Digital; CX,Sports retail
Adidas Hong Kong,Retail,https://www.adidas.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Adidas+Hong+Kong,Digital; Retail Ops,Sportswear
Nike Hong Kong,Retail,https://www.nike.com/hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Nike+Hong+Kong,Digital; Retail Ops,Sportswear
PUMA Hong Kong,Retail,https://hk.puma.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+PUMA+Hong+Kong,Digital; Retail Ops,Sportswear
Skechers Hong Kong,Retail,https://www.skechers.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Skechers+Hong+Kong,Digital; Retail Ops,Footwear
Dr. Kong 健康鞋,Retail,https://www.dr-kong.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Dr.+Kong+Hong+Kong,Digital; Retail Ops,Footwear
Watson's Wine,Retail,https://www.watsonswine.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Watson%27s+Wine+Hong+Kong,Digital; E-comm,Wine retail
Market Place (by PARKnSHOP),Retail,https://www.marketplace.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Market+Place+Hong+Kong,Digital; CX,Premium grocery
TASTE (by PARKnSHOP),Retail,https://www.parknshop.com/en/taste,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+TASTE+Hong+Kong,Digital; CX,Supermarket
Don Don Donki Hong Kong,Retail,https://www.dondondonki.com/hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Don+Don+Donki+Hong+Kong,Digital; CX,Japanese retail
Colourmix 采盟化妆品,Retail,https://www.colourmix-cosmetics.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Colourmix+Hong+Kong,Digital; E-comm,Beauty
Chow Tai Fook 周大福,Retail,https://www.chowtaifook.com/en-hk,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Chow+Tai+Fook+Hong+Kong,Digital; Retail Ops,Jewellery
Lukfook 六福珠宝,Retail,https://www.lukfook.com/en-hk,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Lukfook+Jewellery+Hong+Kong,Digital; Retail Ops,Jewellery
Chow Sang Sang 周生生,Retail,https://www.chowsangsang.com/en,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Chow+Sang+Sang+Hong+Kong,Digital; Retail Ops,Jewellery
Pandora Hong Kong,Retail,https://hk.pandora.net/en,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Pandora+Hong+Kong,Digital; Retail Ops,Jewellery
Optical 88,Retail,https://www.optical88.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Optical+88+Hong+Kong,Digital; Retail Ops,Optical
LensCrafters Hong Kong,Retail,https://www.lenscrafters.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+LensCrafters+Hong+Kong,Digital; Retail Ops,Optical
The Peninsula Hong Kong,Hotel,https://www.peninsula.com/en/hong-kong/5-star-luxury-hotel-kowloon,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+The+Peninsula+Hong+Kong,Digital; Guest Experience,Luxury
Mandarin Oriental Hong Kong,Hotel,https://www.mandarinoriental.com/en/hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Mandarin+Oriental+Hong+Kong,Digital; Guest Experience,Luxury
Island Shangri-La Hong Kong,Hotel,https://www.shangri-la.com/hongkong/islandshangrila,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Shangri-La+Hong+Kong,Digital; Guest Experience,Luxury
Kowloon Shangri-La Hong Kong,Hotel,https://www.shangri-la.com/hongkong/kowloonshangrila,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Kowloon+Shangri-La+Hong+Kong,Digital; Guest Experience,Upscale
Rosewood Hong Kong,Hotel,https://www.rosewoodhotels.com/en/hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Rosewood+Hong+Kong,Digital; Guest Experience,Luxury
JW Marriott Hong Kong,Hotel,https://www.marriott.com/hotels/travel/hkgdt-jw-marriott-hotel-hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+JW+Marriott+Hong+Kong,Digital; Guest Experience,Upscale
The Ritz-Carlton Hong Kong,Hotel,https://www.ritzcarlton.com/en/hotels/hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Ritz-Carlton+Hong+Kong,Digital; Guest Experience,Luxury
Four Seasons Hotel Hong Kong,Hotel,https://www.fourseasons.com/hongkong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Four+Seasons+Hong+Kong,Digital; Guest Experience,Luxury
Grand Hyatt Hong Kong,Hotel,https://www.hyatt.com/en-US/hotel/china/grand-hyatt-hong-kong/hkggh,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Grand+Hyatt+Hong+Kong,Digital; Guest Experience,Upscale
Hyatt Regency Hong Kong, Tsim Sha Tsui,Hotel,https://www.hyatt.com/en-US/hotel/china/hyatt-regency-hong-kong-tsim-sha-tsui/hkghr,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Hyatt+Regency+Tsim+Sha+Tsui+Hong+Kong,Digital; Guest Experience,Upscale
Hyatt Regency Hong Kong, Sha Tin,Hotel,https://www.hyatt.com/en-US/hotel/china/hyatt-regency-hong-kong-sha-tin/hkgsh,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Hyatt+Regency+Sha+Tin+Hong+Kong,Digital; Guest Experience,Upscale
The Langham, Hong Kong,Hotel,https://www.langhamhotels.com/en/the-langham/hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+The+Langham+Hong+Kong,Digital; Guest Experience,Luxury
Cordis, Hong Kong,Hotel,https://www.cordishotels.com/hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Cordis+Hong+Kong,Digital; Guest Experience,Upscale
Kerry Hotel, Hong Kong,Hotel,https://www.shangri-la.com/hongkong/kerry,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Kerry+Hotel+Hong+Kong,Digital; Guest Experience,Upscale
Nina Hotel Tsuen Wan West,Hotel,https://www.ninahotelgroup.com/en/our-hotels/tsuen-wan-west,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Nina+Hotel+Hong+Kong,Digital; Guest Experience,Group
Harbour Plaza Metropolis,Hotel,https://www.harbour-plaza.com/metropolis,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Harbour+Plaza+Metropolis+Hong+Kong,Digital; Guest Experience,Group
Harbour Grand Hong Kong,Hotel,https://www.harbourgrand.com/hongkong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Harbour+Grand+Hong+Kong,Digital; Guest Experience,Group
Regal Hongkong Hotel,Hotel,https://www.regalhotel.com/regal-hongkong-hotel,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Regal+Hongkong+Hotel,Digital; Guest Experience,Group
Regal Kowloon Hotel,Hotel,https://www.regalhotel.com/regal-kowloon-hotel,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Regal+Kowloon+Hotel,Digital; Guest Experience,Group
Dorsett Wanchai Hong Kong,Hotel,https://www.dorsetthotels.com/dorsett-wanchai,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Dorsett+Wanchai+Hong+Kong,Digital; Guest Experience,Group
Ovolo Southside,Hotel,https://ovolohotels.com/ovolo/southside-hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Ovolo+Hotels+Hong+Kong,Digital; Guest Experience,Boutique
Ovolo Central,Hotel,https://ovolohotels.com/ovolo/central-hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Ovolo+Central+Hong+Kong,Digital; Guest Experience,Boutique
The Park Lane Hong Kong, a Pullman Hotel,Hotel,https://www.pullmanhotels.com/hotel/6239/index.en.shtml,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Park+Lane+Pullman+Hong+Kong,Digital; Guest Experience,Upscale
Eaton HK,Hotel,https://www.eatonworkshop.com/hotel/hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Eaton+HK,Digital; Guest Experience,Lifestyle
The Hari Hong Kong,Hotel,https://www.thehari.com/hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+The+Hari+Hong+Kong,Digital; Guest Experience,Boutique
K11 ARTUS (Serviced Suites),Hotel,https://www.k11artus.com/,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+K11+ARTUS,Digital; Guest Experience,Serviced
Hotel ICON,Hotel,https://www.hotel-icon.com/,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Hotel+ICON+Hong+Kong,Digital; Guest Experience,Design hotel
The Mira Hong Kong,Hotel,https://www.themirahotel.com/,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+The+Mira+Hong+Kong,Digital; Guest Experience,Lifestyle
Regent Hong Kong,Hotel,https://www.regenthotels.com/hong-kong,Webchat,Unknown,https://www.google.com/search?q=LinkedIn+Regent+Hong+Kong,Digital; Guest Experience,Luxury
